Game Feature,Occurrences
Steam Achievements,2144
Full controller support,1222
Steam Trading Cards,1607
Steam Workshop,361
In-App Purchases,261
Valve Anti-Cheat enabled,61
Stats,306
Remote Play on Phone,291
Remote Play on Tablet,391
Remote Play on TV,536
Cross-Platform Multiplayer,298
Includes Source SDK,19
Single-player,2861
Captions available,164
Partial Controller Support,573
Steam Cloud,1622
Remote Play Together,458
Online PvP,640
LAN PvP,77
Online Co-op,559
LAN Co-op,74
Includes level editor,283
Commentary available,38
Steam Leaderboards,497
Shared/Split Screen PvP,209
Shared/Split Screen Co-op,195
MMO,121
VR Supported,62
,11
Tracked Controller Support,62
SteamVR Collectibles,4
VR Only,31
Steam Turn Notifications,6
Downloadable Content,8
Mods,1
Mods (require HL2),1
