Game Feature,Friend Occurrences,All Occurrences,Percentage
Mods (require HL2),1,1,1.0
Valve Anti-Cheat enabled,61,92,0.6630434782608695
Mods,1,2,0.5
Remote Play on Tablet,391,898,0.4354120267260579
Remote Play on Phone,291,752,0.386968085106383
Includes Source SDK,19,63,0.30158730158730157
Remote Play on TV,536,2106,0.25451092117758783
Steam Workshop,361,1882,0.191817215727949
Steam Trading Cards,1607,9382,0.1712854402046472
Commentary available,38,252,0.15079365079365079
In-App Purchases,261,1788,0.14597315436241612
Includes level editor,283,1946,0.14542651593011305
Cross-Platform Multiplayer,298,2300,0.12956521739130436
MMO,121,966,0.12525879917184266
Online Co-op,559,4837,0.11556750051684929
Downloadable Content,8,71,0.11267605633802817
Captions available,164,1490,0.11006711409395974
SteamVR Collectibles,4,39,0.10256410256410256
Online PvP,640,6789,0.0942701428781853
Steam Cloud,1622,17565,0.09234272701394819
LAN Co-op,74,810,0.09135802469135802
LAN PvP,77,851,0.09048178613396005
Stats,306,3564,0.08585858585858586
Steam Leaderboards,497,6539,0.07600550542896467
Remote Play Together,458,6043,0.07579017044514313
VR Supported,62,825,0.07515151515151515
Full controller support,1222,17644,0.06925867150306053
Steam Achievements,2144,34555,0.06204601360150485
Shared/Split Screen Co-op,195,3308,0.05894800483675937
Partial Controller Support,573,10024,0.057162809257781326
Steam Turn Notifications,6,108,0.05555555555555555
Shared/Split Screen PvP,209,3974,0.052591847005535985
Single-player,2861,68320,0.04187646370023419
Tracked Controller Support,62,4502,0.013771657041314972
VR Only,31,4100,0.007560975609756097
