Game Feature,Occurrence Count
Valve Anti-Cheat enabled,92
VR Supported,825
VR Only,4100
Tracked Controller Support,4502
SteamVR Collectibles,39
Steam Workshop,1882
Steam Turn Notifications,108
Steam Trading Cards,9382
Steam Leaderboards,6539
Steam Cloud,17565
Steam Achievements,34555
Stats,3564
Single-player,68320
Shared/Split Screen PvP,3974
Shared/Split Screen Co-op,3308
Remote Play on Tablet,898
Remote Play on TV,2106
Remote Play on Phone,752
Remote Play Together,6043
Partial Controller Support,10024
Online PvP,6789
Online Co-op,4837
Mods,2
Mods (require HL2),1
MMO,966
LAN PvP,851
LAN Co-op,810
Includes level editor,1946
Includes Source SDK,63
In-App Purchases,1788
Full controller support,17644
Downloadable Content,71
Cross-Platform Multiplayer,2300
Commentary available,252
Captions available,1490
Additional High-Quality Audio,4
,147
