Popular Tag,Friend Occurrences,All Occurrences,Percentage
Games Workshop,24,77,0.3116883116883117
TrackIR,7,25,0.28
Mod,17,61,0.2786885245901639
Cult Classic,78,288,0.2708333333333333
Classic,356,1339,0.2658700522778193
Warhammer 40K,12,51,0.23529411764705882
Epic,23,99,0.23232323232323232
Musou,6,26,0.23076923076923078
Benchmark,2,9,0.2222222222222222
Remake,86,389,0.2210796915167095
Kickstarter,41,189,0.21693121693121692
Snooker,3,14,0.21428571428571427
Based On A Novel,15,77,0.19480519480519481
Moddable,163,869,0.18757192174913695
Great Soundtrack,762,4120,0.1849514563106796
Episodic,29,160,0.18125
Co-op,841,4668,0.18016281062553557
Crowdfunded,18,104,0.17307692307692307
Steam Machine,2,12,0.16666666666666666
Online Co-Op,476,2868,0.16596931659693165
Social Deduction,18,109,0.1651376146788991
Real-Time with Pause,50,305,0.16393442622950818
Touch-Friendly,41,255,0.1607843137254902
Voice Control,4,25,0.16
MMORPG,77,512,0.150390625
Vikings,13,88,0.14772727272727273
World War II,98,664,0.14759036144578314
Jump Scare,7,48,0.14583333333333334
Competitive,143,1002,0.14271457085828343
Multiplayer,1338,9502,0.1408124605346243
Dungeons & Dragons,10,75,0.13333333333333333
Villain Protagonist,28,211,0.13270142180094788
Nostalgia,27,209,0.1291866028708134
Well-Written,4,31,0.12903225806451613
Massively Multiplayer,214,1691,0.12655233589591958
LEGO,15,119,0.12605042016806722
Feature Film,1,8,0.125
Intentionally Awkward Controls,7,58,0.1206896551724138
Open World,691,5796,0.11922015182884749
Escape Room,39,328,0.11890243902439024
Sequel,22,189,0.1164021164021164
World War I,18,157,0.11464968152866242
Gore,424,3713,0.1141933746296795
Local Co-Op,264,2329,0.11335337054529841
Blood,53,475,0.11157894736842106
RTS,200,1796,0.111358574610245
Mature,126,1140,0.11052631578947368
Sniper,21,192,0.109375
Co-op Campaign,55,510,0.10784313725490197
MOBA,29,269,0.10780669144981413
Steampunk,56,520,0.1076923076923077
Team-Based,137,1275,0.10745098039215686
Turn-Based,203,1896,0.1070675105485232
Open World Survival Craft,59,563,0.10479573712255773
Split Screen,69,660,0.10454545454545454
Beautiful,68,651,0.10445468509984639
Third-Person Shooter,188,1827,0.10290093048713739
Party,30,292,0.10273972602739725
Silent Protagonist,12,117,0.10256410256410256
FPS,487,4798,0.10150062526052522
Party Game,35,348,0.10057471264367816
Heist,25,256,0.09765625
ATV,4,41,0.0975609756097561
Memes,142,1469,0.0966643975493533
Sandbox,408,4248,0.096045197740113
Stealth,197,2068,0.09526112185686654
Grand Strategy,70,739,0.09472259810554803
Illuminati,25,266,0.09398496240601503
Automobile Sim,93,1020,0.09117647058823529
Assassin,30,331,0.09063444108761329
Addictive,36,398,0.09045226130653267
Superhero,28,313,0.08945686900958466
War,203,2292,0.08856893542757417
Crime,80,914,0.087527352297593
Cold War,25,286,0.08741258741258741
Comedy,449,5147,0.08723528268894502
Horses,17,195,0.08717948717948718
Historical,188,2162,0.08695652173913043
Real-Time,34,398,0.08542713567839195
Boss Rush,4,47,0.0851063829787234
Isometric,180,2151,0.08368200836820083
Reboot,1,12,0.08333333333333333
4X,35,421,0.0831353919239905
Difficult,478,5762,0.08295730649080181
Third Person,533,6538,0.08152340165188131
Local Multiplayer,253,3118,0.08114175753688262
Replay Value,173,2135,0.08103044496487119
Fighting,88,1095,0.08036529680365297
Software Training,2,25,0.08
Shooter,675,8452,0.07986275437766209
Vampire,28,355,0.07887323943661972
Trading,36,459,0.0784313725490196
eSports,56,720,0.07777777777777778
Mechs,41,529,0.07750472589792061
Tactical,284,3666,0.07746863066012002
Gothic,38,491,0.07739307535641547
