Popular Tag,Occurrence Count
eSports,720
Zombies,2360
Wrestling,75
World War II,664
World War I,157
Word Game,456
Wholesome,300
Western,326
Werewolves,165
Well-Written,31
Web Publishing,12
Warhammer 40K,51
Wargame,1273
War,2292
Walking Simulator,2450
Voxel,598
Volleyball,17
Voice Control,25
Visual Novel,4338
Violent,4378
Villain Protagonist,211
Vikings,88
Video Production,38
Vehicular Combat,697
Vampire,355
VR,5089
Utilities,130
Unforgiving,156
Underwater,432
Underground,460
Typing,302
Twin Stick Shooter,1111
Tutorial,1229
Turn-Based,1896
Turn-Based Tactics,2672
Turn-Based Strategy,2948
Turn-Based Combat,2782
Trivia,259
Transportation,326
Transhumanism,171
Trains,262
Traditional Roguelike,241
Trading,459
Trading Card Game,354
TrackIR,25
Tower Defense,1627
Touch-Friendly,255
Top-Down,6256
Top-Down Shooter,2260
Time Travel,425
Time Manipulation,547
Time Management,1571
Time Attack,270
Tile-Matching,20
Thriller,1292
Third-Person Shooter,1827
Third Person,6538
Text-Based,1752
Tennis,81
Team-Based,1275
Tanks,447
Tactical,3666
Tactical RPG,1293
Tabletop,1560
Swordplay,719
Survival,5770
Survival Horror,2818
Surreal,2367
Supernatural,1237
Superhero,313
Submarine,136
Stylized,6394
Strategy,15255
Strategy RPG,1463
Story Rich,11095
Steampunk,520
Steam Machine,12
Stealth,2068
Sports,3587
Split Screen,660
Spelling,176
Spectacle fighter,557
Spaceships,141
Space,4004
Space Sim,852
Soundtrack,749
Souls-like,1135
Solitaire,607
Sokoban,519
Software,207
Software Training,25
Social Deduction,109
Snowboarding,45
Snow,286
Snooker,14
Sniper,192
Skiing,45
Skating,69
Skateboarding,86
Singleplayer,41124
Simulation,15061
Silent Protagonist,117
Side Scroller,4087
Short,1691
Shop Keeper,19
Shooter,8452
Sexual Content,2489
Sequel,189
Score Attack,2430
Science,740
Sci-fi,7780
Satire,448
Sandbox,4248
Sailing,243
Runner,1326
Rugby,17
Rome,145
Romance,1806
Roguevania,122
Roguelite,3538
Roguelike,3794
Roguelike Deckbuilder,293
Rock Music,43
Robots,1745
Rhythm,911
Retro,7863
Resource Management,2694
Replay Value,2135
Remake,389
Relaxing,7280
Reboot,12
Realistic,4893
Real-Time,398
Real-Time with Pause,305
Real Time Tactics,1489
Racing,2996
RTS,1796
RPGMaker,1238
RPG,13181
Quick-Time Events,446
PvP,4934
PvE,4240
Puzzle,13448
Puzzle Platformer,3564
Psychological,1351
Psychological Horror,4203
Psychedelic,1329
Programming,358
Procedural Generation,3256
Precision Platformer,1863
Post-apocalyptic,2378
Pool,79
Politics,338
Political,488
Political Sim,358
Point & Click,4427
Platformer,8095
Pixel Graphics,11635
Pirates,438
Pinball,138
Physics,4915
Photo Editing,34
Philosophical,769
Perma Death,1576
Party-Based RPG,1104
Party,292
Party Game,348
Parody,567
Parkour,1080
Outbreak Sim,161
Otome,364
Open World,5796
Open World Survival Craft,563
Online Co-Op,2868
On-Rails Shooter,293
Old School,3768
Offroad,236
Nudity,2355
Nostalgia,209
Nonlinear,1390
Noir,716
Ninja,458
Naval,328
Naval Combat,247
Nature,2488
Narrative,363
Narration,1824
NSFW,502
Mythology,897
Mystery,4849
Mystery Dungeon,668
Musou,26
Music-Based Procedural Generation,220
Music,978
Multiple Endings,4076
Multiplayer,9502
Movie,85
Mouse only,537
Motorbike,159
Motocross,70
Modern,1033
Moddable,869
Mod,61
Mining,456
Minimalist,4777
Minigames,321
Mini Golf,114
Military,1812
Metroidvania,1410
Memes,1469
Medieval,3135
Medical Sim,127
Mechs,529
Mature,1140
Match 3,910
Massively Multiplayer,1691
Martial Arts,418
Mars,201
Management,3626
Mahjong,59
Magic,3626
MOBA,269
MMORPG,512
Lovecraftian,706
Lore-Rich,1318
Looter Shooter,482
Loot,1136
Logic,3418
Local Multiplayer,3118
Local Co-Op,2329
Linear,4742
Life Sim,1628
Level Editor,1085
Lemmings,68
LGBTQ+,1265
LEGO,119
Kickstarter,189
Jump Scare,48
Job Simulator,53
Jet,173
JRPG,2074
Isometric,2151
Investigation,1767
Inventory Management,1034
Interactive Fiction,2460
Intentionally Awkward Controls,58
Instrumental Music,48
Indie,42593
Immersive,311
Immersive Sim,2432
Illuminati,266
Idler,993
Hunting,414
Horses,195
Horror,7302
Hockey,60
Hobby Sim,9
Historical,2162
Hidden Object,3204
Hex Grid,486
Hero Shooter,653
Hentai,751
Heist,256
Hardware,16
Hand-drawn,3598
Hacking,396
Hack and Slash,2794
Gun Customization,641
Grid-Based Movement,1099
Great Soundtrack,4120
Grand Strategy,739
Gothic,491
Gore,3713
Golf,176
God Game,485
Gaming,61
Games Workshop,77
GameMaker,150
Game Development,213
Gambling,212
Futuristic,3274
Funny,8382
Free to Play,4723
Fox,15
Foreign,172
Football (Soccer),243
Football (American),86
Flight,1480
Fishing,387
First-Person,9926
Fighting,1095
Female Protagonist,6252
Feature Film,8
Fast-Paced,1753
Farming,151
Farming Sim,682
Fantasy,10124
Family Friendly,7685
Faith,293
FPS,4798
FMV,382
Exploration,11172
Experimental,1179
Experience,179
Escape Room,328
Episodic,160
Epic,99
Emotional,2272
Electronic,33
Electronic Music,86
Education,1982
Economy,1577
Early Access,9357
Dystopian,1221
Dynamic Narration,388
Dungeons & Dragons,75
Dungeon Crawler,2480
Driving,1521
Drama,2197
Dragons,630
Dog,441
Documentary,27
Diplomacy,258
Dinosaurs,375
Difficult,5762
Detective,1649
Destruction,1080
Design & Illustration,375
Demons,1448
Deckbuilding,975
Dating Sim,1334
Dark,4882
Dark Humor,1575
Dark Fantasy,2693
Dark Comedy,748
Cycling,72
Cyberpunk,1801
Cute,10177
Cult Classic,288
Crowdfunded,104
Crime,914
Cricket,23
Creature Collector,685
Crafting,3084
Cozy,303
Cooking,513
Conversation,1429
Controller,6228
Conspiracy,512
Competitive,1002
Comic Book,1071
Comedy,5147
Combat,6825
Combat Racing,582
Colorful,12301
Colony Sim,737
Collectathon,1244
Cold War,286
Coding,11
Co-op,4668
Co-op Campaign,510
Clicker,1610
Classic,1339
Class-Based,622
City Builder,1448
Cinematic,1689
Choose Your Own Adventure,2679
Choices Matter,4993
Chess,191
Character Customization,3970
Character Action Game,615
Cats,913
Casual,30458
Cartoony,4966
Cartoon,2964
Card Game,1781
